1,770,51
770,1,51
2,1414,36
1414,2,36
3,945,60
945,3,60
4,826,33
826,4,33
5,56,9
56,5,9
6,1267,6
1267,6,6
7,1253,84
1253,7,84
8,805,15
805,8,15
9,1757,48
1757,9,48
10,1624,81
1624,10,81
11,630,60
630,11,60
12,1666,51
1666,12,51
13,280,27
280,13,27
14,322,3
322,14,3
15,1687,78
1687,15,78
16,1008,57
1008,16,57
17,637,6
637,17,6
18,1421,54
1421,18,54
19,434,48
434,19,48
20,1190,81
1190,20,81
21,588,36
588,21,36
22,448,33
448,22,33
23,1764,39
1764,23,39
24,1428,33
1428,24,33
25,798,39
798,25,39
26,378,48
378,26,48
27,518,78
518,27,78
28,35,63
35,28,63
29,119,72
119,29,72
30,315,12
315,30,12
31,1372,69
1372,31,69
32,1568,78
1568,32,78
33,1197,6
1197,33,6
34,280,15
280,34,15
35,1351,6
1351,35,6
36,889,63
889,36,63
37,1274,48
1274,37,48
38,1631,6
1631,38,6
39,1141,24
1141,39,24
40,42,54
42,40,54
41,924,9
924,41,9
42,602,12
602,42,12
43,637,3
637,43,3
44,1288,15
1288,44,15
45,1736,33
1736,45,33
46,1764,42
1764,46,42
47,476,18
476,47,18
48,77,54
77,48,54
49,77,9
77,49,9
50,1134,15
1134,50,15
51,1729,3
1729,51,3
52,1449,45
1449,52,45
53,1274,66
1274,53,66
54,1372,33
1372,54,33
55,1428,69
1428,55,69
56,1064,24
1064,56,24
57,791,66
791,57,66
58,665,81
665,58,81
59,1687,78
1687,59,78
60,1442,39
1442,60,39
61,1582,75
1582,61,75
62,336,39
336,62,39
63,1512,75
1512,63,75
64,1365,84
1365,64,84
65,1624,60
1624,65,60
66,658,33
658,66,33
67,707,75
707,67,75
68,105,36
105,68,36
69,28,33
28,69,33
70,917,27
917,70,27
71,945,18
945,71,18
72,147,48
147,72,48
73,7,84
7,73,84
74,1652,78
1652,74,78
75,1274,60
1274,75,60
76,847,30
847,76,30
77,91,6
91,77,6
78,1673,21
1673,78,21
79,28,51
28,79,51
80,728,54
728,80,54
81,84,57
84,81,57
82,1267,78
1267,82,78
83,819,12
819,83,12
84,854,84
854,84,84
85,1414,48
1414,85,48
86,1386,69
1386,86,69
87,1624,48
1624,87,48
88,357,27
357,88,27
89,721,30
721,89,30
90,798,84
798,90,84
91,1596,36
1596,91,36
92,1043,15
1043,92,15
93,693,51
693,93,51
94,693,54
693,94,54
95,252,42
252,95,42
96,1813,45
1813,96,45
97,1687,33
1687,97,33
98,931,6
931,98,6
99,903,57
903,99,57
100,420,6
420,100,6
101,1106,27
1106,101,27
102,630,18
630,102,18
103,1435,81
1435,103,81
104,707,39
707,104,39
105,819,21
819,105,21
106,1274,78
1274,106,78
107,1757,3
1757,107,3
108,1414,60
1414,108,60
109,679,42
679,109,42
110,294,51
294,110,51
111,1057,61
1057,111,61
112,1043,72
1043,112,72
113,588,30
588,113,30
114,1316,24
1316,114,24
115,1337,69
1337,115,69
116,1449,39
1449,116,39
117,609,24
609,117,24
118,245,33
245,118,33
119,175,48
175,119,48
120,1253,72
1253,120,72
121,77,33
77,121,33
122,1008,6
1008,122,6
123,189,21
189,123,21
124,1813,36
1813,124,36
125,1106,81
1106,125,81
126,1519,60
1519,126,60
127,1463,66
1463,127,66
128,931,42
931,128,42
129,840,27
840,129,27
130,889,66
889,130,66
131,819,63
819,131,63
132,952,69
952,132,69
133,966,84
966,133,84
134,819,6
819,134,6
135,1568,18
1568,135,18
136,693,63
693,136,63
137,1316,66
1316,137,66
138,210,81
210,138,81
139,714,9
714,139,9
140,875,6
875,140,6
141,742,6
742,141,6
142,1057,27
1057,142,27
143,420,72
420,143,72
144,1813,72
1813,144,72
145,1533,48
1533,145,48
146,161,15
161,146,15
147,217,63
217,147,63
148,224,63
224,148,63
149,84,78
84,149,78
150,1372,60
1372,150,60
151,1596,6
1596,151,6
152,182,42
182,152,42
153,763,18
763,153,18
154,1540,42
1540,154,42
155,427,60
427,155,60
156,105,72
105,156,72
157,938,48
938,157,48
158,1078,24
1078,158,24
159,1092,24
1092,159,24
160,189,24
189,160,24
161,1750,54
1750,161,54
162,1512,57
1512,162,57
163,1337,39
1337,163,39
164,812,27
812,164,27
165,1344,6
1344,165,6
166,1547,69
1547,166,69
167,672,18
672,167,18
168,721,15
721,168,15
169,693,54
693,169,54
170,826,69
826,170,69
171,1400,66
1400,171,66
172,1092,48
1092,172,48
173,539,12
539,173,12
174,1778,33
1778,174,33
175,273,33
273,175,33
176,1148,42
1148,176,42
177,854,6
854,177,6
178,1505,57
1505,178,57
179,1281,75
1281,179,75
180,1652,57
1652,180,57
181,497,69
497,181,69
182,1057,51
1057,182,51
183,1302,27
1302,183,27
184,98,63
98,184,63
185,658,9
658,185,9
186,1204,57
1204,186,57
187,1218,75
1218,187,75
188,553,48
553,188,48
189,980,9
980,189,9
190,105,3
105,190,3
191,581,36
581,191,36
192,56,81
56,192,81
193,819,12
819,193,12
194,161,60
161,194,60
195,518,18
518,195,18
196,1547,54
1547,196,54
197,1365,39
1365,197,39
198,1659,78
1659,198,78
199,1526,51
1526,199,51
200,1617,6
1617,200,6
201,1162,12
1162,201,12
202,1218,51
1218,202,51
203,1624,57
1624,203,57
204,553,57
553,204,57
205,1785,42
1785,205,42
206,1225,69
1225,206,69
207,308,75
308,207,75
208,413,6
413,208,6
209,896,15
896,209,15
210,1610,6
1610,210,6
211,1491,12
1491,211,12
212,294,9
294,212,9
213,1631,72
1631,213,72
214,1715,63
1715,214,63
215,1141,27
1141,215,27
216,294,27
294,216,27
217,441,45
441,217,45
218,1064,75
1064,218,75
219,1484,84
1484,219,84
220,1722,54
1722,220,54
221,1799,63
1799,221,63
222,1554,6
1554,222,6
223,1743,42
1743,223,42
224,560,33
560,224,33
225,1722,9
1722,225,9
226,1302,42
1302,226,42
227,469,33
469,227,33
228,1449,48
1449,228,48
229,532,36
532,229,36
230,812,42
812,230,42
231,70,63
70,231,63
232,511,27
511,232,27
233,1316,36
1316,233,36
234,1757,69
1757,234,69
235,602,21
602,235,21
236,1722,15
1722,236,15
237,1470,21
1470,237,21
238,1253,45
1253,238,45
239,14,3
14,239,3
240,1204,33
1204,240,33
241,1015,48
1015,241,48
242,1582,15
1582,242,15
243,1421,33
1421,243,33
244,21,21
21,244,21
245,1694,60
1694,245,60
246,1057,66
1057,246,66
247,1001,9
1001,247,9
248,238,51
238,248,51
249,1043,36
1043,249,36
250,1351,39
1351,250,39
251,1169,18
1169,251,18
252,1323,24
1323,252,24
253,1547,84
1547,253,84
254,1085,12
1085,254,12
255,1141,75
1141,255,75
256,945,21
945,256,21
257,476,48
476,257,48
258,637,57
637,258,57
259,1680,57
1680,259,57
260,238,36
238,260,36
261,371,18
371,261,18
262,903,66
903,262,66
263,1701,60
1701,263,60
264,679,60
679,264,60
265,721,15
721,265,15
266,1358,54
1358,266,54
267,1218,33
1218,267,33
268,56,54
56,268,54
269,707,18
707,269,18
270,245,48
245,270,48
271,1533,63
1533,271,63
272,1617,15
1617,272,15
273,525,6
525,273,6
274,1505,30
1505,274,30
275,28,54
28,275,54
276,1477,81
1477,276,81
277,1715,3
1715,277,3
278,483,30
483,278,30
279,1309,45
1309,279,45
280,665,18
665,280,18
281,931,48
931,281,48
282,287,66
287,282,66
283,1190,24
1190,283,24
284,973,48
973,284,48
285,1197,33
1197,285,33
286,812,57
812,286,57
287,1211,48
1211,287,48
288,854,12
854,288,12
289,1358,36
1358,289,36
290,1190,54
1190,290,54
291,1596,60
1596,291,60
292,1302,45
1302,292,45
293,217,72
217,293,72
294,168,81
168,294,81
295,917,21
917,295,21
296,672,75
672,296,75
297,399,36
399,297,36
298,343,57
343,298,57
299,1050,36
1050,299,36
300,882,84
882,300,84
301,1582,24
1582,301,24
302,1449,75
1449,302,75
303,1736,33
1736,303,33
304,1806,81
1806,304,81
305,1428,78
1428,305,78
306,826,33
826,306,33
307,966,51
966,307,51
308,1,72
1,308,72
309,1106,39
1106,309,39
310,952,57
952,310,57
311,1330,6
1330,311,6
312,441,54
441,312,54
313,1806,78
1806,313,78
314,1134,21
1134,314,21
315,889,78
889,315,78
316,42,60
42,316,60
317,728,18
728,317,18
318,455,75
455,318,75
319,1764,3
1764,319,3
320,1358,6
1358,320,6
321,770,3
770,321,3
322,1764,69
1764,322,69
323,1113,60
1113,323,60
324,1309,6
1309,324,6
325,371,54
371,325,54
326,1085,27
1085,326,27
327,280,30
280,327,30
328,518,18
518,328,18
329,518,48
518,329,48
330,896,6
896,330,6
331,1757,18
1757,331,18
332,210,9
210,332,9
333,714,48
714,333,48
334,217,30
217,334,30
335,1323,12
1323,335,12
336,707,81
707,336,81
337,588,45
588,337,45
338,1505,66
1505,338,66
339,329,6
329,339,6
340,511,78
511,340,78
341,1498,78
1498,341,78
342,812,72
812,342,72
343,721,15
721,343,15
344,903,42
903,344,42
345,1750,18
1750,345,18
346,1323,12
1323,346,12
347,581,57
581,347,57
348,315,72
315,348,72
349,294,6
294,349,6
350,329,60
329,350,60
351,763,18
763,351,18
352,679,66
679,352,66
353,777,21
777,353,21
354,889,27
889,354,27
355,707,36
707,355,36
356,1603,78
1603,356,78
357,553,78
553,357,78
358,686,78
686,358,78
359,1211,6
1211,359,6
360,1414,12
1414,360,12
361,1715,78
1715,361,78
362,910,12
910,362,12
363,343,45
343,363,45
364,959,54
959,364,54
365,812,72
812,365,72
366,1029,33
1029,366,33
367,1,30
1,367,30
368,1722,57
1722,368,57
369,602,15
602,369,15
370,560,39
560,370,39
